ID,27-Mar infect.prob
1,48.18363953
2,50.73143387
3,56.36357117
4,48.35262299
5,58.43271637
6,49.45333099
7,49.05094528
8,48.61858749
9,49.24572372
10,47.60079575
11,47.40850449
12,46.04299545
13,43.12681961
14,48.46379089
15,48.78694534
16,47.28340912
17,50.11762619
18,46.96839905
19,48.43598557
20,49.4754982
21,48.01078033
22,59.81216812
23,52.60159683
24,46.54323196
25,53.13781738
26,47.15283585
27,50.45659637
28,48.31712341
29,48.90443802
30,48.75610733
31,47.04874039
32,46.51807404
33,48.81904984
34,49.58776474
35,50.40028381
36,46.38785934
37,49.75271988
38,46.46511841
39,47.21404266
40,50.19400787
41,47.60494232
42,48.92658234
43,47.23816681
44,46.33148575
45,48.41983414
46,61.74410629
47,49.05591965
48,50.36283493
49,47.11643982
50,45.77837372
51,44.59488297
52,56.8584404
53,47.04374313
54,47.57091522
55,46.14480209
56,47.33772659
57,52.80541611
58,49.76961517
59,49.84820175
60,49.66672897
61,54.67575455
62,47.19749832
63,46.57278061
64,49.26944351
65,57.43209076
66,49.42577362
67,46.28806686
68,45.68140411
69,47.15187836
70,46.19313431
71,46.34037781
72,49.47786713
73,47.44584274
74,46.99745178
75,45.03628159
76,49.8401413
77,48.18039322
78,50.13239288
79,49.42594528
80,47.68541336
81,67.21534729
82,49.53768158
83,46.69869232
84,58.54025269
85,47.07468414
86,47.8974762
87,46.91662979
88,61.36156845
89,48.03686142
90,49.27796173
91,48.73150635
92,47.53170776
93,48.42056656
94,51.420578
95,47.23977661
96,45.42515182
97,47.51965714
98,50.0184021
99,47.56393433
100,46.8600769
101,55.27622986
102,58.58392334
103,48.76713181
104,50.143116
105,46.24481583
106,48.71384048
107,50.60216904
108,48.59944153
109,46.82003784
110,47.78820801
111,47.54790878
112,47.44218063
113,48.81401825
114,48.52059937
115,47.46973419
116,46.46119308
117,49.67262268
118,48.667202
119,62.92993546
120,46.77935791
121,49.39250183
122,50.03800201
123,47.38922501
124,48.01966858
125,50.0393219
126,46.45764923
127,56.34926224
128,51.06998062
129,49.68467712
130,63.67803574
131,47.56385422
132,57.23997879
133,49.87219238
134,52.2827301
135,47.47359848
136,47.86835098
137,46.44818878
138,54.21886063
139,46.83895111
140,48.88515472
141,48.77011871
142,58.36994171
143,47.2730751
144,58.46973419
145,49.23764801
146,47.63664627
147,48.52894211
148,51.08744431
149,64.60359192
150,46.27358627
151,46.48725891
152,49.63077545
153,46.11389542
154,48.68466949
155,48.64339066
156,50.95819092
157,46.27547073
158,49.82085419
159,47.71981812
160,47.42700195
161,47.31947327
162,62.09466934
163,56.01434326
164,48.42410278
165,48.89939117
166,48.49500275
167,45.83532715
168,46.91874695
169,45.960392
170,46.83665085
171,61.36216354
172,50.74537659
173,47.92122269
174,50.36567307
175,49.67162704
176,49.68727875
177,47.34222794
178,49.37290955
179,56.4355011
180,55.25307846
181,48.32782745
182,59.80563354
183,45.09372711
184,47.88259888
185,53.86909103
186,64.78806305
187,48.82542801
188,47.52344513
189,47.14511108
190,58.97973251
191,50.27877045
192,46.26898575
193,46.9068222
194,50.55335236
195,47.07847214
196,49.02641296
197,48.67037582
198,48.31826401
199,47.01836395
200,47.98222733
201,46.85009003
202,49.87942886
203,48.37340164
204,49.60747528
205,62.6222229
206,47.7099762
207,53.9285202
208,48.88602829
209,46.28808594
210,48.85530472
211,47.2352562
212,57.42987823
213,47.3272438
214,59.28476334
215,48.01428986
216,59.41567612
217,48.37771988
218,46.31219101
219,46.22834778
220,50.36561584
221,47.61930847
222,47.30119705
223,45.97266006
224,49.93932343
225,52.43965149
226,47.92408752
227,47.03688431
228,45.6438179
229,48.60776901
230,48.352005
231,48.01841736
232,49.32219315
233,48.5305481
234,50.01605606
235,46.77254868
236,45.77265549
237,47.50712204
238,48.67663193
239,45.72542572
240,46.53695679
241,48.95209503
242,58.12825775
243,46.51159668
244,46.92021942
245,47.67093658
246,51.00018311
247,49.03304672
248,47.24679947
249,49.14168549
250,47.50929642
251,45.2620163
252,47.6985817
253,54.29158401
254,47.24042511
255,48.77597427
256,47.76480484
257,48.9071312
258,52.18787384
259,55.12137985
260,45.40820694
261,49.78746796
262,49.88355637
263,46.13777161
264,50.60050964
265,49.05701065
266,49.08654022
267,49.11584091
268,58.58591461
269,46.6283493
270,47.98427582
271,46.21363449
272,46.74671555
273,49.41069794
274,49.51329041
275,46.3489151
276,48.67535019
277,47.42864227
278,46.39237213
279,48.0833931
280,48.66776657
281,49.56375504
282,47.68609238
283,47.68612289
284,49.7816658
285,48.6601181
286,47.87248993
287,48.79095459
288,53.59379578
289,46.62005615
290,48.04016113
291,46.8197937
292,46.74924469
293,50.75162888
294,49.56883621
295,45.90278244
296,46.95130157
297,49.45098114
298,49.80464935
299,47.88554382
300,49.2261734
301,65.039505
302,47.36813736
303,46.96936035
304,47.00033951
305,47.13866806
306,46.1619873
307,48.71893311
308,46.31509018
309,49.69350433
310,49.71496582
311,47.64456558
312,46.70860291
313,48.1228447
314,48.98709869
315,48.50011444
316,48.96463776
317,49.80929565
318,46.40961456
319,48.39429474
320,44.97277832
321,48.49432755
322,45.41484833
323,61.60433578
324,48.67703247
325,47.85362625
326,49.45649719
327,51.03841019
328,50.65745926
329,47.29367447
330,48.97389221
331,45.44543076
332,49.80820084
333,49.915802
334,45.9313736
335,48.01401138
336,42.48853302
337,48.92005539
338,49.24272156
339,48.89112091
340,46.91352081
341,47.00102234
342,47.05986023
343,49.26394653
344,51.27601242
345,47.83841324
346,47.70998764
347,58.76702499
348,47.39022827
349,66.82314301
350,46.61964035
351,58.92212677
352,49.04421997
353,47.05167007
354,47.72351074
355,45.75509644
356,48.30395889
357,47.38877106
358,47.99806213
359,46.691082
360,50.51448059
361,50.87837601
362,47.82524872
363,56.85670853
364,46.74132919
365,55.46650696
366,47.29764175
367,49.45797729
368,48.10365677
369,51.99508286
370,47.23698044
371,45.35745621
372,50.42329025
373,47.57527161
374,49.74323654
375,50.13710022
376,49.39285278
377,47.73373413
378,47.76461411
379,50.46892929
380,47.50030136
381,46.79808426
